strategy,category,date,days_until_expiry,revenue,profit,exp_waste,init_qty,exp_sold,sell_through,discount
no_discount,Dairy,2024-11-29,9,2150.889808387074,964.5287998506404,11.182849429936594,327,198.42156903939798,0.6067937891113088,0.0
no_discount,Ready_to_Eat,2024-11-19,0,218.25942659235054,-2952.720573407649,459.37235372370947,479,19.627646276290516,0.04097629702774638,0.0
no_discount,Seafood,2024-12-16,2,3120.556672759726,-771.5133272402741,85.94020035241613,169,83.05979964758387,0.4914781044235732,0.0
no_discount,Beverages,2024-12-23,10,669.5717661803903,213.22235542566915,35.12915183049081,206,169.51183953933932,0.822873007472521,0.0
no_discount,Deli,2024-12-23,3,1290.7336289210743,91.9036289210743,148.90909159002064,267,118.09090840997935,0.4422880464793234,0.0
no_discount,Bakery,2024-12-03,5,2372.32619434695,-1131.9438056530496,222.0953862551091,407,184.9046137448909,0.4543110902822872,0.0
no_discount,Seafood,2024-11-23,3,366.01,132.77,0.0,17,17.0,1.0,0.0
no_discount,Meat,2024-11-12,9,2166.4357557371945,1141.7053244427098,18.712557832532603,269,192.5720671766395,0.7158812906194777,0.0
no_discount,Ready_to_Eat,2024-11-14,2,2029.2,1184.46,0.0,114,114.0,1.0,0.0
no_discount,Seafood,2024-12-21,1,757.91,445.17,0.0,19,19.0,1.0,0.0
no_discount,Produce,2024-12-11,14,2866.5341172591857,1144.2443156537615,50.47244451760095,470,411.26744867420166,0.875037124838727,0.0
no_discount,Beverages,2024-11-29,9,907.160162342343,398.6001623423431,21.256224634008902,163,141.7437753659911,0.8695937139017859,0.0
no_discount,Seafood,2024-12-18,6,5684.938592681912,1525.4275274908564,18.03067875050761,415,348.76923881484123,0.8404078043731114,0.0
no_discount,Seafood,2024-12-27,1,4694.895900906925,-1559.5540990930754,215.53699997692303,335,119.46300002307699,0.3566059702181403,0.0
no_discount,Ready_to_Eat,2024-11-05,1,519.09,306.90000000000003,0.0,33,33.0,1.0,0.0
no_discount,Bakery,2024-12-02,1,486.98428507482595,-600.8157149251741,177.52654930823508,222,44.47345069176493,0.2003308589719141,0.0
no_discount,Bakery,2024-12-07,3,1194.282726105587,-657.1972738944132,234.10831146928223,417,182.89168853071777,0.4385891811288196,0.0
no_discount,Meat,2024-11-07,8,1350.7098832492052,535.2130972541391,9.495990883481149,238,212.7102178345205,0.8937404110694139,0.0
no_discount,Produce,2024-12-25,5,645.1082481064368,71.86824810643677,115.1624040857489,281,165.8375959142511,0.5901693804777619,0.0
no_discount,Dairy,2024-11-02,8,2277.0888445116225,735.7268894400843,10.850877684811568,399,249.95486767416276,0.6264533024415107,0.0
no_discount,Dairy,2024-12-06,4,152.36,74.88000000000001,0.0,52,52.0,1.0,0.0
no_discount,Ready_to_Eat,2024-12-08,0,300.13819756933395,-936.761802430666,186.7154229969485,210,23.284577003051506,0.11087893810976908,0.0
no_discount,Ready_to_Eat,2024-11-13,2,1603.030178639539,-1547.9498213604609,383.4709505212791,497,113.52904947872089,0.22842867098334182,0.0
no_discount,Dairy,2024-11-04,10,330.03711718568553,107.33711718568554,22.43515882049818,131,108.56484117950183,0.8287392456450521,0.0
no_discount,Ready_to_Eat,2024-11-09,2,3388.66,1090.8699999999997,0.0,211,211.0,1.0,0.0
no_discount,Dairy,2024-12-31,11,788.9705713357476,249.57057133574762,28.968644975046395,174,145.0313550249536,0.8335135346261701,0.0
no_discount,Deli,2024-12-21,9,1492.7424199405011,314.1862330151083,38.24698228458198,438,249.2057462338065,0.5689628909447637,0.0
no_discount,Seafood,2024-12-06,4,8839.755996842205,2642.6559968422052,4.948828651305831,210,205.05117134869417,0.976434149279496,0.0
no_discount,Seafood,2024-11-14,1,9341.589207990184,1453.1992079901834,150.52007366780518,397,246.47992633219482,0.6208562376125815,0.0
no_discount,Deli,2024-11-02,9,372.48742262756605,165.39742262756604,5.86054958829484,39,33.13945041170516,0.8497294977360298,0.0
no_discount,Seafood,2024-12-29,7,6930.299049855309,2681.6685528680487,8.407995249345943,314,189.66335659155197,0.6040234286355158,0.0
no_discount,Ready_to_Eat,2024-11-03,1,1538.6490535725038,261.68905357250367,80.52662719754514,184,103.47337280245486,0.5623552869698634,0.0
no_discount,Seafood,2024-12-17,4,4033.8741683581784,-7897.725831641823,386.77354659076093,488,101.2264534092391,0.2074312569861457,0.0
no_discount,Seafood,2024-12-11,6,5977.283086121833,2212.165723384723,17.781579686188707,308,165.34669671153065,0.5368399243880866,0.0
no_discount,Beverages,2024-12-22,22,1430.8180973685608,554.6955752495101,12.17164519643084,407,224.61822564655586,0.5518875323011201,0.0
no_discount,Ready_to_Eat,2024-11-29,0,141.49996926867433,28.199969268674323,5.033576826298042,22,16.96642317370196,0.771201053350089,0.0
