date,No Discount,Fixed 20%,Dynamic
2024-11-02,41701.99174149289,35124.72376054773,63743.93797058626
2024-11-03,6342.920951219633,5949.94473156885,33016.62162616133
2024-11-04,4128.820249509211,7547.2143500841285,32137.22203522805
2024-11-05,17724.144477962876,14850.472451072286,40791.20383568913
2024-11-06,-11413.046158162739,-11348.819537817406,13634.51236625814
2024-11-07,249.90971913658723,2738.9701130419517,34540.42067161539
2024-11-08,25745.958665985214,16340.349771881092,42345.68693753354
2024-11-09,7423.547253776872,4126.616370209968,35838.97836292012
2024-11-10,31882.11887725862,34806.77441447562,59944.492895458505
2024-11-11,10104.94415266148,9123.129393169322,34288.091197528374
2024-11-12,4877.762347331779,5136.7128850657,30111.52798481521
2024-11-13,-9057.857010889247,-8721.728839368436,17927.524884738865
2024-11-14,10588.115701211455,11187.698835453515,35603.61505279646
2024-11-15,-12179.205481975243,-13748.477021742707,12751.579313680373
2024-11-16,23084.58696650626,15020.782167647174,38648.92366668772
2024-11-17,18284.93821432471,17606.406547096696,47557.28617741036
2024-11-18,28620.980525097246,17327.128200617462,45463.188161308404
2024-11-19,-10048.247507099992,-8046.962312287658,21118.359437413194
2024-11-20,-4375.392643515146,390.78756841573147,26950.61744342198
2024-11-21,-4117.02359390158,-2815.7812999864923,25537.6381019414
2024-11-22,-894.1357758107306,-4323.398195122558,23023.404846635825
2024-11-23,-5872.546686389057,-5780.64631314157,25574.600648663054
2024-11-24,41639.94475645891,27917.27546877525,57187.60227290717
2024-11-25,11030.92411790535,7594.901003946176,39816.39038385664
2024-11-26,-17563.642459070088,-19787.197289192598,7048.996997227208
2024-11-27,-2059.2077259700254,-5372.426391255044,21567.63515543718
2024-11-28,3602.9110821302843,3479.1292865205014,26788.974822686057
2024-11-29,8576.40441439753,15680.959079430892,38471.49033147699
2024-11-30,847.3369862689958,1294.7081261484657,28311.192526786814
2024-12-01,4098.799973281136,10324.137548196162,38584.79451426986
2024-12-02,7374.458401748578,5056.5845071969,32430.299999660307
2024-12-03,-13086.997751201034,-10872.785858981704,16687.090005199927
2024-12-04,-6939.8871496732945,-8397.896153281896,25867.7054102256
2024-12-05,-14112.358218618343,-14707.500621154779,11868.201274154182
2024-12-06,-2968.997094583661,4490.195908256124,32337.80979865532
2024-12-07,-5908.286313208555,-9710.331988718268,15621.37692200587
2024-12-08,7588.830820953639,7043.23989623012,34905.62999830655
2024-12-09,22736.979663738475,27770.69048486521,49755.703220994474
2024-12-10,-19223.634698057704,-12354.899631595306,13122.09270913381
2024-12-11,16588.911840586345,18539.3469073391,46311.44976921593
2024-12-12,3713.4329001411693,-1932.1041680950498,24444.806868361793
2024-12-13,5769.791406888362,16161.656955887953,44278.74326524515
2024-12-14,34303.545339012315,23176.539996380227,57982.64270567429
2024-12-15,18347.65576052595,16524.944583302928,45694.44579390014
2024-12-16,-23775.831328439264,-25516.46140213397,5731.501646869261
2024-12-17,954.1105404266858,9209.618095498492,32208.5520651933
2024-12-18,38250.15863764854,23851.880979825342,49583.73160285097
2024-12-19,7708.243961342352,6069.097867340075,27765.267543633505
2024-12-20,-3451.7586259149266,4095.324234810697,33133.32488529284
2024-12-21,13162.868772842789,8806.737839954942,34096.256759500815
2024-12-22,2899.717028070798,280.163641240127,27315.971619144795
2024-12-23,16403.64841698382,6030.555354406895,37755.04899725946
2024-12-24,23848.736024864887,27048.681416604162,56956.02811489017
2024-12-25,-16147.5338070097,-20990.8326203977,7309.773641000356
2024-12-26,32793.120805633924,24708.87100596656,52872.63946303631
2024-12-27,1136.8707876594442,-718.6405734791099,28665.429804846648
2024-12-28,28271.346884894057,24091.5911903065,53710.89677905455
2024-12-29,7323.685185854803,4581.679856658165,34079.16919225695
2024-12-30,2454.4031556667837,4381.824485622475,29040.243338764725
2024-12-31,10707.303206754936,8945.624357950646,39178.717018364085
